Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Churn Value,CLTV
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1,5998
1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1,4415
0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1,4638
0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1,4190
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,1,2301
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,1,2570
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,1,3964
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,1,2662
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,1,2600
1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,1,2786
0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1,5719
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,1,4287
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,1,5444
0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,1,4690
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,1,4328
0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1,5717
0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,1,4419
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,1,4534
1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,1,2152
0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1,5142
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,1,4851
1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,1,2283
1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,1,3394
0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1,3764
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,1,2667
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,1,2227
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1,3394
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,1,3638
1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,1,2484
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,1,2556
0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1,5980
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1,4616
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,1,5687
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,1,5687
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,1,5828
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,1,4884
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,1,2314
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1,2494
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1,5084
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1,3810
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,1,5087
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,1,3338
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,1,3676
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,1,4839
1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1,4643
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,1,4094
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,1,4345
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,1,4061
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1,2018
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,1,2565
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1,3677
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,1,4105
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,1,5715
0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,1,2071
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,1,2212
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,1,4149
0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,1,2671
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,1,2473
0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6,1,2683
1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8,1,4903
0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,1,5250
1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,1,4352
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,1,4157
1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,1,4939
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,1,4778
0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,1,3598
1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,1,2927
1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,1,5383
1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65,1,3878
0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,104.95,1,3642
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65,1,2431
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,1,3424
1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95,1,5888
0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,85.45,1,5502
0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95,1,5795
1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,1,4020
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,1,3351
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,1,3448
1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,81.35,1,2818
0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1,3804
0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3,1,4902
0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1,4221
1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4,1,2887
0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,1,4105
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55,1,2792
0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,1,5201
1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,1,4417
1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,1,2031
0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,1,4498
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.0,1,4877
0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,1,5980
1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1,4418
1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1,1,4192
0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0,1,5671
0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,1,4926
0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,83.55,1,2879
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,1,2814
0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,1,4263
1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,1,3099
0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45,1,4099
0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,99.7,1,2538
0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1,2666
1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,1,3715
0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,1,5032
0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,1,5273
1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,104.8,1,3492
0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1,4517
0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,75.6,1,2115
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,1,2568
0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0,1,5679
1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,86.05,1,2966
1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55,1,4856
1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3,1,3364
1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,1,5974
0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25,1,2744
1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3,1,5170
0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.0,1,3535
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3,1,3244
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,1,5808
0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,1,4880
0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,1,5670
0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,105.25,1,4196
1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,1,2573
0,0,1,0,9,1,0,0,2,2,2,2,0,0,0,0,3,65.0,1,3983
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,20.0,1,4479
1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05,1,5059
1,1,1,0,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75,1,2728
0,0,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,105.5,1,5720
1,1,1,0,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55,1,6268
1,0,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,85.25,1,3573
0,0,1,0,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,1,2152
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,1,4996
1,1,1,0,20,1,2,1,0,0,0,0,2,2,0,1,2,94.55,1,5604
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,1,2295
0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5,1,2065
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,1,2876
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6,1,3860
0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,1,5432
1,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85,1,2362
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25,1,2038
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,69.65,1,2323
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,45.65,1,2864
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,75.05,1,4838
1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,49.15,1,5597
0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,34.7,1,3146
1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,1,2046
1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,49.25,1,3475
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.1,1,4965
1,0,1,0,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,1,3273
0,0,0,0,25,1,0,1,2,2,0,0,0,0,0,1,0,79.85,1,4535
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,1,3556
0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1,5640
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.35,1,2450
1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,94.5,1,4333
0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7,1,2482
0,0,0,0,45,1,2,1,0,0,2,2,0,0,0,1,2,87.25,1,5269
1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,98.55,1,3658
1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,98.55,1,5444
0,0,0,0,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1,3579
0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1,3161
1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3,1,3038
1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1,5264
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,1,4248
0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,88.9,1,4356
1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8,1,4161
1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0,1,3051
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.35,1,3478
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,1,4138
0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,110.0,1,2403
1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,1,5016
0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,98.5,1,5184
1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35,1,4694
1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,1,2576
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,1,3042
1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,1,6105
1,0,0,0,70,1,2,1,2,0,0,2,2,2,2,1,1,104.0,1,4544
0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,3,86.2,1,2969
1,0,1,0,21,1,2,1,0,2,2,2,2,2,0,1,2,111.2,1,4123
0,0,1,0,16,1,0,1,0,2,2,0,2,0,0,1,1,89.45,1,3696
1,1,1,0,7,1,2,1,0,0,0,0,2,2,0,1,0,95.6,1,3265
1,0,1,0,60,1,0,1,0,2,2,0,2,0,1,0,2,90.95,1,4111
0,0,1,0,50,1,2,1,2,2,0,2,2,2,1,0,2,108.55,1,4274
0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,1,5301
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,1,3522
0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.0,1,5679
0,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1,2653
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,1,5951
0,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15,1,5600
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,50.8,1,3718
1,1,1,0,20,1,0,1,0,2,0,0,0,0,0,1,2,73.65,1,5849
0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,1,2,95.1,1,5861
1,0,0,0,22,1,2,1,0,0,0,0,2,2,0,1,1,94.65,1,3665
1,0,1,0,4,1,0,1,0,0,2,2,0,0,0,1,3,80.6,1,3080
1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55,1,6304
0,0,0,0,60,0,1,0,0,2,0,0,2,2,0,1,2,50.8,1,4941
0,0,0,0,15,1,0,1,2,0,2,2,2,2,0,0,2,105.1,1,2122
1,0,0,0,10,1,0,1,2,2,2,2,2,2,0,1,2,110.1,1,5803
0,0,0,0,6,1,0,1,0,0,2,0,0,2,0,0,2,83.9,1,3962
0,0,1,0,63,1,2,1,2,2,2,0,2,0,0,1,2,100.55,1,5413
1,0,1,0,50,1,2,1,0,2,2,0,2,2,0,1,0,103.85,1,5812
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,1,5768
0,0,0,0,12,1,0,1,2,0,0,2,2,2,0,1,0,98.9,1,5559
0,0,0,0,9,1,2,1,0,0,2,0,2,2,0,0,1,98.3,1,2954
1,0,0,0,17,1,0,1,2,0,0,0,2,2,0,0,2,93.85,1,4940
1,1,0,0,9,1,2,1,0,0,2,0,2,2,0,1,2,100.5,1,4038
1,1,0,0,10,1,0,1,0,2,0,0,0,0,0,1,2,72.85,1,3189
1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.55,1,4369
0,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,79.4,1,3501
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,81.15,1,4806
0,1,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,84.6,1,2467
0,0,0,0,6,1,2,1,2,0,0,0,0,0,0,1,2,79.05,1,3263
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,74.4,1,2054
1,1,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,99.05,1,2074
1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,44.95,1,5900
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,44.7,1,3700
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,1,3571
1,1,0,0,8,1,0,1,2,0,0,2,2,2,0,0,1,100.3,1,5084
1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,2,19.25,1,4489
0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,96.0,1,3391
0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,90.55,1,2627
1,1,1,0,44,0,1,0,0,2,0,0,0,0,0,1,2,30.35,1,4829
1,0,0,0,71,1,2,1,2,0,2,2,2,2,2,1,2,108.05,1,5200
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,1,5367
1,1,1,0,62,1,2,1,0,2,2,0,2,2,1,1,2,103.75,1,5052
1,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,86.6,1,5228
0,1,1,0,33,1,2,1,0,2,0,0,0,0,0,1,0,80.6,1,3601
0,0,0,0,35,1,2,1,0,2,0,2,0,0,0,0,1,85.3,1,2455
0,0,0,0,34,1,0,1,0,0,0,0,0,0,0,1,1,70.0,1,2318
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,1,5419
0,0,0,0,7,1,0,1,0,0,2,0,2,2,0,1,2,95.35,1,3077
1,1,1,0,27,1,2,1,0,0,0,0,0,0,0,1,2,75.5,1,2377
0,0,0,0,18,1,2,1,0,0,0,2,0,2,0,1,2,90.1,1,4260
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,68.95,1,5225
1,0,1,0,32,1,2,1,2,0,0,0,2,2,0,1,1,99.55,1,5026
1,0,1,0,18,1,0,0,0,0,2,0,0,2,0,0,2,57.45,1,2989
1,0,1,0,12,1,0,0,0,0,0,0,0,2,1,0,1,53.65,1,2595
1,1,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,100.6,1,5906
1,0,1,0,26,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1,2404
0,1,1,0,3,1,0,1,2,0,0,2,2,0,0,1,3,88.3,1,4486
0,1,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,92.1,1,5662
1,0,1,0,38,1,0,1,2,2,0,0,0,0,0,1,2,79.45,1,2405
1,1,0,0,14,1,0,1,0,0,0,0,2,2,0,0,1,90.45,1,4777
1,0,1,0,32,1,0,1,0,0,0,0,0,0,0,1,0,69.75,1,2356
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.65,1,5881
1,1,0,0,12,0,1,0,0,0,2,2,0,2,0,1,2,43.65,1,2437
0,0,0,0,5,0,1,0,0,0,2,0,0,2,0,0,2,39.5,1,2863
1,0,1,0,40,1,2,1,0,0,0,0,2,2,0,1,0,97.1,1,3099
0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,1,2,80.0,1,3937
0,0,0,0,10,1,0,1,2,0,0,0,2,0,0,1,3,84.7,1,5686
1,0,1,0,2,1,0,1,0,0,0,0,2,2,0,1,0,89.55,1,3851
1,0,0,0,23,1,2,1,0,0,0,2,2,0,0,1,2,90.6,1,4359
0,0,0,0,23,1,2,1,2,0,0,0,2,0,0,1,0,90.05,1,4650
1,0,1,0,49,1,2,1,0,2,0,0,2,2,0,1,0,99.05,1,5157
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,69.75,1,5667
0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,1,49.05,1,2960
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,1,2561
0,0,0,0,41,1,2,1,2,2,2,2,2,2,0,1,0,114.5,1,3038
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.95,1,3533
0,1,0,0,13,1,0,1,0,0,2,0,0,0,0,1,2,74.3,1,2995
0,1,0,0,11,1,0,1,0,0,0,0,2,2,0,0,0,89.7,1,2202
1,1,1,0,17,1,2,1,0,0,2,0,2,2,0,1,1,100.45,1,5508
1,0,1,0,25,1,0,1,0,0,0,0,2,2,1,1,2,90.4,1,5801
1,0,1,0,3,1,0,0,0,2,2,0,0,0,0,1,3,56.15,1,2539
0,0,0,0,4,1,0,1,2,0,2,2,0,2,0,1,0,94.4,1,4249
0,0,1,0,37,1,2,1,0,0,2,0,0,0,0,1,1,78.95,1,3982
0,0,0,0,19,0,1,0,0,0,0,0,2,2,1,1,1,44.85,1,5182
1,1,1,0,39,1,2,1,0,2,2,0,2,2,0,1,2,105.65,1,4687
1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,0,3,74.65,1,3331
0,0,1,0,14,1,2,0,2,0,0,0,2,0,0,1,0,64.7,1,4049
0,1,1,0,11,1,2,1,0,0,2,2,2,2,0,1,0,104.05,1,4553
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.55,1,3958
0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,95.15,1,2414
1,0,1,0,13,1,0,1,0,0,2,0,2,2,0,1,3,96.65,1,5295
0,1,1,0,3,1,0,1,0,0,0,0,2,0,0,1,2,80.4,1,3834
1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,3,31.35,1,3605
0,0,0,0,12,1,2,1,0,2,0,0,2,0,0,1,0,89.75,1,5671
1,0,1,0,60,1,0,1,0,2,0,0,2,2,1,1,2,94.4,1,4990
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,2,19.85,1,3874
0,0,0,0,6,1,2,1,0,2,2,2,2,2,0,1,1,109.9,1,5750
1,0,0,0,15,1,0,1,0,0,2,2,2,2,0,1,2,101.35,1,3025
1,1,0,0,21,1,0,0,0,0,2,0,2,0,0,1,0,60.05,1,4716
0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,1,2,60.15,1,4611
1,0,0,0,7,1,2,1,0,0,2,0,2,0,0,1,2,90.45,1,5356
1,0,1,0,53,1,0,1,0,2,0,0,2,2,1,1,0,94.25,1,5414
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.9,1,2548
0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,80.25,1,2502
1,0,1,0,17,1,0,1,0,0,0,0,0,0,0,1,2,69.0,1,3368
0,0,1,0,11,1,2,0,0,0,0,2,0,2,0,1,2,66.35,1,2860
1,0,0,0,19,1,2,1,0,0,0,0,0,2,0,1,0,86.0,1,4857
0,0,1,0,3,1,0,1,0,0,0,0,0,2,0,1,2,80.3,1,3212
1,0,0,0,24,1,2,1,0,2,0,0,2,0,0,1,1,90.55,1,5927
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,75.9,1,2101
